resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-10-01,local-authority-eng:ROH,RDCBLR0001,"St George's Church, Cantelupe Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=29499,,not owned by a public authority,not permissioned,,,50.840247,0.484304,0.08,6,6,2017-10-01,,"""Lapsed permission. This brownfield site is part of a larger site that includes greenfield land.""",78cff0703156173e855e451949b5010fc381d8b8a5f0fd72c9172d563c395eca,Rother District Council
2018-05-22,2017-10-01,local-authority-eng:ROH,RDCBLR0002,"Tower House, Hilders Cliff, Rye",https://www.rother.gov.uk/CHttpHandler.ashx?id=29500,,not owned by a public authority,not permissioned,,,50.952337,0.734737,0.1,6,6,2017-10-01,,"""Lapsed permission.""",78cff0703156173e855e451949b5010fc381d8b8a5f0fd72c9172d563c395eca,Rother District Council
2018-05-22,2017-10-01,local-authority-eng:ROH,RDCBLR0003,"The Warren Yard, Catsfield",https://www.rother.gov.uk/CHttpHandler.ashx?id=29501,yes,not owned by a public authority,permissioned,reserved matters approval,,50.907102,0.446766,0.74,6,6,2017-10-01,,"""The adjoining commercial scheme (covered by a separate reserved matters application and outside of the site boundary shown) has been commenced. The housing permission has yet to be implemented. Both sites are linked by an S106 agreement."". ""Construction of six private houses""",78cff0703156173e855e451949b5010fc381d8b8a5f0fd72c9172d563c395eca,Rother District Council
2018-05-22,2017-10-01,local-authority-eng:ROH,RDCBLR0004,"30-34 Dorset Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=29502,,not owned by a public authority,not permissioned,,,50.841724,0.483388,0.11,10,10,2017-10-01,,"""Lapsed permission. This brownfield site is part of a larger site that includes greenfield land.""",78cff0703156173e855e451949b5010fc381d8b8a5f0fd72c9172d563c395eca,Rother District Council
2018-05-22,2017-10-01,local-authority-eng:ROH,RDCBLR0005,"207 Cooden Drive, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=29503,yes,not owned by a public authority,not permissioned,,,50.833184,0.430641,0.11,5,5,2017-10-01,,"""Lapsed permission. This brownfield site is part of a larger site that includes greenfield land.""",78cff0703156173e855e451949b5010fc381d8b8a5f0fd72c9172d563c395eca,Rother District Council
2018-05-22,2017-10-01,local-authority-eng:ROH,RDCBLR0006,"Lydd Road Garage, Lydd Road, Camber",https://www.rother.gov.uk/CHttpHandler.ashx?id=29504,yes,not owned by a public authority,permissioned,full planning permission,,50.934882,0.79798,0.15,5,5,2017-10-01,,". ""Development comprising a terrace of 5 x two bedroom town houses""",78cff0703156173e855e451949b5010fc381d8b8a5f0fd72c9172d563c395eca,Rother District Council
2018-05-22,2017-10-01,local-authority-eng:ROH,RDCBLR0007,"Ruskin House, Bodiam Business Park, Junction Road, Bodiam",https://www.rother.gov.uk/CHttpHandler.ashx?id=29505,yes,not owned by a public authority,not permissioned,,,51.000931,0.522685,0.14,11,11,2017-10-01,,"""Permitted development, prior approval not required. Proposed Change of use to convert existing office building into eleven flats of either one or two bedrooms. Decided 01/12/2015""",78cff0703156173e855e451949b5010fc381d8b8a5f0fd72c9172d563c395eca,Rother District Council
2018-05-22,2017-10-01,local-authority-eng:ROH,RDCBLR0008,"Former Countrycraft Site, George Hill, Robertsbridge",https://www.rother.gov.uk/CHttpHandler.ashx?id=29506,yes,not owned by a public authority,permissioned,full planning permission,,50.983795,0.474479,0.11,5,5,2017-10-01,,". ""Erection of 5 dwellings.""",78cff0703156173e855e451949b5010fc381d8b8a5f0fd72c9172d563c395eca,Rother District Council
2018-05-22,2017-10-01,local-authority-eng:ROH,RDCBLR0009,"85 Ashdown Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=29507,,not owned by a public authority,permissioned,outline planning permission,,50.842215,0.489026,0.05,7,7,2017-10-01,,". ""Outline: Development of a single building containing seven apartments.""",78cff0703156173e855e451949b5010fc381d8b8a5f0fd72c9172d563c395eca,Rother District Council
2018-05-22,2017-10-01,local-authority-eng:ROH,RDCBLR0010,"Chintings, Upper Sea Road, Bexhill",https://www.rother.gov.uk/CHttpHandler.ashx?id=29508,,not owned by a public authority,permissioned,full planning permission,,50.842785,0.477464,0.06,7,7,2017-10-01,,"""This brownfield site is part of a larger site that includes greenfield land."". ""Outline: Proposed demolition of building containing 7 flats and erection of 14 new flats.""",78cff0703156173e855e451949b5010fc381d8b8a5f0fd72c9172d563c395eca,Rother District Council
