resource-date,entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource,name
2018-05-22,2017-12-14,local-authority-eng:WYR,BR001,"Normoss Farm, Normoss Road, Poulton",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.829946,-2.997998,0.61,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR002,"South of Kepple Lane, Garstang",https://arcg.is/0nuG4n,yes,not owned by a public authority,pending decision,reserved matters approval,,53.897245,-2.781751,2.87,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR003,"52-60 Poulton Road, Fleetwood",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.921435,-3.01868,0.05,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR004,"Land north and east of Bourne Road, Thornton.",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.888771,-3.005927,5.16,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR005,"Royal Oak, 64 Breck Road, Poulton",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.850689,-2.988458,0.12,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR006,"Preesall Service Station, Sandy Lane, Preesall",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,reserved matters approval,,53.921991,-2.962063,0.12,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR007,"Brimelows Garage, 54 Hardhorn Road, Poulton",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,reserved matters approval,,53.844418,-2.992506,0.14,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR008,"Fairfield Nurseries, Puddle House Lane, Poulton",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,reserved matters approval,,53.830047,-2.978081,1.18,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR009,"West of Nightingale Way, Catterall",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,outline planning permission,,53.88125,-2.772782,0.6,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR010,"Lincluden, Wallace Lane, Forton",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.960543,-2.776809,0.43,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR011,"North of Garstang Road, Pilling",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,outline planning permission,,53.921166,-2.882255,1.69,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR012,"Throstles Nest, Whinney Brow Lane, Forton",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.955946,-2.774727,0.27,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR013,"Prospect Farm, Skippool Road, Thornton",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.857851,-2.985434,0.61,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR014,"Rear The Steamer, Victoria Street, Fleetwood",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.924354,-3.006143,0.05,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR015,"5 Lockwood Avenue, Poulton",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.849312,-2.991998,0.07,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR016,"Barneys Bingo Club, Poulton Road, Fleetwood",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.920651,-3.021006,0.14,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR017,"Garstang Business & Community Centre, 96 High Street, Garstang",https://arcg.is/0nuG4n,,owned by a public authority,pending decision,full planning permission,,53.902791,-2.773271,0.07,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR018,"Fleetwood Pier, The Esplanade, Fleetwood",https://arcg.is/0nuG4n,,not owned by a public authority,pending decision,outline planning permission,,53.927979,-3.012169,0.22,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-14,local-authority-eng:WYR,BR019,"Carleton Court, 155-161 Lord Street, Fleetwood",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,full planning permission,,53.921139,-3.014364,0.07,,,2017-12-14,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-15,local-authority-eng:WYR,BR020,"North of Norcross Lane, Thornton Cleveleys",https://arcg.is/0nuG4n,yes,not owned by a public authority,permissioned,outline planning permission,,53.862632,-3.016704,13.61,220,338,2017-12-15,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-15,local-authority-eng:WYR,BR021,"South of Fleetwood Dock, Fleetwood",https://arcg.is/0nuG4n,,not owned by a public authority,,,,53.912846,-3.017116,10.32,120,120,2017-12-15,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-15,local-authority-eng:WYR,BR022,"Garstang Country Hotel & Golf Club, Garstang Road, Bowgreave",https://arcg.is/0nuG4n,,not owned by a public authority,pending decision,outline planning permission,,53.886849,-2.768701,0.29,9,9,2017-12-15,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-15,local-authority-eng:WYR,BR023,Island Farm Cartmell Lane Nateby Preston Lancashire PR3 0LU,https://arcg.is/0nuG4n,,not owned by a public authority,pending decision,outline planning permission,,53.904446,-2.824504,0.34,,,2017-12-15,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2018-05-22,2017-12-15,local-authority-eng:WYR,BR024,Lakeland View Laidleys Walk Fleetwood Lancashire FY7 7JL,https://arcg.is/0nuG4n,,owned by a public authority,pending decision,full planning permission,,53.923873,-3.03313,0.41,,,2017-12-15,,,20c27f6cd123faef42a40eeaaa15a4e17336c2a0fc8d78788ee4268b01dba4e5,Wyre Borough Council
2019-11-24,2018-09-30,local-authority-eng:WYR,BR025,"Former Fleetwood Health Centre, London Street, Fleetwood",https://arcg.is/1yDieW,yes,not owned by a public authority,permissioned,full planning permission,,53.922769,-3.012866,0.2,,,2018-09-30,,. Housing estimate reflects planning permission - Part demolition and part refurbishment to create 19 residential units and 3 dwellings; erection of 4 dwellings and a 12 unit flat development,611c369d9056ddbe9c8eba3a2b2a61bcb056da3e94d3b335b45608a3be28b534,Wyre Borough Council
2019-11-24,2018-09-30,local-authority-eng:WYR,BR026,"Land at Foxes Farm, Hardhorn Road, Poulton",https://arcg.is/1yDieW,yes,not owned by a public authority,permissioned,full planning permission,,53.829423,-2.985177,0.31,,,2018-09-30,,. Housing estimate reflects planning permission - Application for the erection of 2 detached dwellings with associated access and landscaping (following the demolition of existing buildings),611c369d9056ddbe9c8eba3a2b2a61bcb056da3e94d3b335b45608a3be28b534,Wyre Borough Council
2019-11-24,2018-09-30,local-authority-eng:WYR,BR027,"Acresfield, 9 Garstang Bypass Road, Garstang",https://arcg.is/1yDieW,yes,not owned by a public authority,permissioned,full planning permission,,53.912457,-2.778352,0.01,,,2018-09-30,,. Housing estimate reflects planning permission - Erection of building to form 7 apartments (following demolition of existing dwelling),611c369d9056ddbe9c8eba3a2b2a61bcb056da3e94d3b335b45608a3be28b534,Wyre Borough Council
2019-11-24,2018-09-30,local-authority-eng:WYR,BR028,"15 Newton Drive East, Normoss",https://arcg.is/1yDieW,yes,not owned by a public authority,permissioned,full planning permission,,53.827072,-3.008473,0.07,,,2018-09-30,,. Housing estimate reflects planning permission - Erection of 8 apartments following demolition of existing residential dwelling,611c369d9056ddbe9c8eba3a2b2a61bcb056da3e94d3b335b45608a3be28b534,Wyre Borough Council
2019-11-24,2018-09-30,local-authority-eng:WYR,BR029,"Bloomfield Garage, Cockerham Road, Forton",https://arcg.is/1yDieW,yes,not owned by a public authority,permissioned,outline planning permission,,53.961251,-2.785418,0.37,,,2018-09-30,,. Housing estimate reflects planning permission - Outline application for the erection of four dwellings with access applied for (all other matters reserved)(re-submission of 15/01001/FUL),611c369d9056ddbe9c8eba3a2b2a61bcb056da3e94d3b335b45608a3be28b534,Wyre Borough Council
2019-11-24,2018-09-30,local-authority-eng:WYR,BR030,"Rear 91 Victoria Street, Fleetwood",https://arcg.is/1yDieW,yes,not owned by a public authority,permissioned,outline planning permission,,53.924784,-3.012701,0.11,,,2018-09-30,,". Housing estimate reflects planning permission - Outline application for demolition of existing garage, warehouse and store buildings and erection of two 2/3 bed mews houses and four 1 bed apartments with associated access (all other matters reserved) (re-submission of 17/00977/OUTMAJ)",611c369d9056ddbe9c8eba3a2b2a61bcb056da3e94d3b335b45608a3be28b534,Wyre Borough Council
2019-11-24,2018-09-30,local-authority-eng:WYR,BR031,"67-69 Beach Road, Thornton-Cleveley",https://arcg.is/1yDieW,yes,not owned by a public authority,permissioned,full planning permission,,53.880712,-3.043399,0.04,,,2018-09-30,,". Housing estimate reflects planning permission - Change of use from vacant guesthouse to 8 no. residential apartments. Two storey rear extension, front dormer and external alterations",611c369d9056ddbe9c8eba3a2b2a61bcb056da3e94d3b335b45608a3be28b534,Wyre Borough Council
2019-12-11,2019-10-30,local-authority-eng:WYR,BR032,"Land at Crake Avenue, Fleetwood",https://arcg.is/1yDieW,,not owned by a public authority,,,,53.913986,-3.045538,0.84,,,2019-10-30,,". Demolition of 72 properties in total comprising houses and flats on Crake Avenue, numbers (1-7), (8-14), (9-15), (16-22), (17-23), (25-31), (33-39), (41-47), (49-55), (59-63), (67-73), 6 and 5",9205559f67e6e40585bafdb6cc892392f39b9434b29012e8985f4eb8561995be,Wyre Borough Council
2019-12-11,2019-10-30,local-authority-eng:WYR,BR033,"Land at Martindale Avenue, Fleetwood",https://arcg.is/1yDieW,,not owned by a public authority,,,,53.91284,-3.046027,0.54,,,2019-10-30,,". Demolition of 63 properties in total comprising houses and flats on Martindale Avenue, numbers (1-11), (2-8), (31-45), (46-60) and (47-61)",9205559f67e6e40585bafdb6cc892392f39b9434b29012e8985f4eb8561995be,Wyre Borough Council
2019-12-11,2019-10-30,local-authority-eng:WYR,BR034,"Land at Rede Avenue, Fleetwood",https://arcg.is/1yDieW,,not owned by a public authority,,,,53.913484,-3.044414,0.59,,,2019-10-30,,". Demolition of 45 properties in total comprising houses and flats on Rede Avenue, numbers (1-7), (2A-2D), (4A-4D), (9-15), (19-25), (27-33), (39-45), 17 and 35",9205559f67e6e40585bafdb6cc892392f39b9434b29012e8985f4eb8561995be,Wyre Borough Council
2019-12-11,2019-10-30,local-authority-eng:WYR,BR035,"The Rockery, Green Lane East, Cabus",https://arcg.is/1yDieW,,not owned by a public authority,permissioned,full planning permission,,53.909879,-2.77666,0.11,,,2019-10-30,,. Demolition of existing house and warehouse and erection of 7 new dwellings. Technical commencement,9205559f67e6e40585bafdb6cc892392f39b9434b29012e8985f4eb8561995be,Wyre Borough Council
2019-12-11,2019-10-30,local-authority-eng:WYR,BR036,"Carr Head Adult Education Centre, Carr Head Lane, Poulton",https://arcg.is/1yDieW,,not owned by a public authority,permissioned,outline planning permission,,53.841208,-2.987186,0.37,,,2019-10-30,,. Outline application for a residential development for upto 8 dwellings following the demolition of the adult learning centre with access applied for (all other matters reserved),9205559f67e6e40585bafdb6cc892392f39b9434b29012e8985f4eb8561995be,Wyre Borough Council
2019-12-11,2019-10-30,local-authority-eng:WYR,BR037,"Normoss Farm, Normoss Road, Poulton",https://arcg.is/1yDieW,,not owned by a public authority,permissioned,full planning permission,,53.83018,-2.998019,0.61,,,2019-10-30,,. Redevelopment of existing farm and caravan park to create 21 residential units with associated landscaping and vehicular access onto Normoss Road,9205559f67e6e40585bafdb6cc892392f39b9434b29012e8985f4eb8561995be,Wyre Borough Council
